,Subdistricts,District,Regency,Province,PostalCode,Latitude,Longitude
113,KEBAYORAN LAMA SELATAN,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12240,-6.25347187194034,106.782911665683
114,KEBAYORAN LAMA UTARA,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12240,-6.25347187194034,106.782911665683
115,ULUJAMI,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12250,-6.2359572,106.7628608
116,PETUKANGAN UTARA,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12260,-8.7996802,115.1506101
117,PETUKANGAN SELATAN,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12270,-6.2253018,106.8038892
118,PONDOK PINANG,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12310,-6.27204369716664,106.770870379109
119,PESANGGRAHAN,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12320,-8.7996802,115.1506101
120,BINTARO,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12330,-8.7996802,115.1506101
121,CIPETE SELATAN,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12410,-6.2723997,106.8023933
122,GANDARIA SELATAN,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12420,-6.27623751171526,106.795610725556
123,CILANDAK BARAT,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12430,-6.2833735,106.8080137
124,LEBAK BULUS,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12440,-6.3079422,106.7813729
125,PONDOK LABU,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12450,-6.30609584377289,106.791743921387
126,PEJATEN BARAT,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12510,-6.27593629190494,106.839492233956
127,PEJATEN TIMUR,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12510,-6.27593629190494,106.839492233956
128,KEBAGUSAN,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12520,-6.30365801255193,106.827071700455
129,PASAR MINGGU,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12520,-6.30365801255193,106.827071700455
130,TANJUNG BARAT,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12530,-6.30562510595588,106.844617384985
131,JATI PADANG,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12540,-6.29154333003495,106.829733897972
132,RAGUNAN,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12550,-6.2839213,106.8397898
