,id,Subdistricts,District,Regency,Province,PostalCode
144,145,DUREN TIGA,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12760
145,146,CIKOKO,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12770
146,147,PENGADEGAN,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12770
147,148,PANCORAN,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12780
148,149,MAMPANG PRAPATAN,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12790
149,150,TEGAL PARANG,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12790
150,151,TEBET BARAT,TEBET,JAKARTA SELATAN,DKI JAKARTA,12810
151,152,TEBET TIMUR,TEBET,JAKARTA SELATAN,DKI JAKARTA,12820
152,153,KEBON BARU,TEBET,JAKARTA SELATAN,DKI JAKARTA,12830
153,154,BUKIT DURI,TEBET,JAKARTA SELATAN,DKI JAKARTA,12840
154,155,MANGGARAI,TEBET,JAKARTA SELATAN,DKI JAKARTA,12850
155,156,MANGGARAI SELATAN,TEBET,JAKARTA SELATAN,DKI JAKARTA,12860
156,157,MENTENG DALAM,TEBET,JAKARTA SELATAN,DKI JAKARTA,12870
157,158,SETIABUDI,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12910
158,159,KARET,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12920
159,160,KARET SEMANGGI,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12930
160,161,KARET KUNINGAN,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12940
161,162,KUNINGAN TIMUR,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12950
162,163,MENTENG ATAS,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12960
163,164,PASAR MANGGIS,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12970
164,165,GUNTUR,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12980
165,166,PISANGAN BARU,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13110
166,167,UTAN KAYU SELATAN,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13120
167,168,UTAN KAYU UTARA,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13120
168,169,KAYU MANIS,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13130
169,170,PAL MERIAM,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13140
170,171,KEBON MANGGIS,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13150
171,172,KAYU PUTIH,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13210
172,173,JATI,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13220
173,174,RAWAMANGUN,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13220
174,175,PISANGAN TIMUR,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13230
175,176,CIPINANG,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13240
176,177,JATINEGARA KAUM,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13250
177,178,PULO GADUNG,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13260
178,179,BALI MESTER,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13310
179,180,KAMPUNG MELAYU,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13320
180,181,BIDARACINA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13330
181,182,CIPINANG CEMPEDAK,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13340
182,183,RAWA BUNGA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13350
183,184,CIPINANG BESAR SELATAN,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13410
184,185,CIPINANG BESAR UTARA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13410
185,186,CIPINANG MUARA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13420
186,187,PONDOK BAMBU,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13430
187,188,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13440
188,189,PONDOK KELAPA,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13450
189,190,MALAKA JAYA,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13460
190,191,MALAKA SARI,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13460
191,192,PONDOK KOPI,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13460
192,193,KLENDER,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13470
193,194,KRAMAT JATI,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13510
194,195,BATUAMPAR,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13520
195,196,BALEKAMBANG,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13530
196,197,KAMPUNG TENGAH,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13540
197,198,DUKUH,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13550
198,199,PINANG RANTI,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13560
199,200,MAKASAR,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13570
200,201,HALIM PERDANA KUSUMAH,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13610
201,202,CIPINANG MELAYU,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13620
202,203,CAWANG,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13630
203,204,CILILITAN,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13640
204,205,KEBON PALA,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13650
205,206,PEKAYON,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13710
206,207,CIBUBUR,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13720
207,208,KELAPA DUA WETAN,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13730
208,209,CIRACAS,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13740
209,210,SUSUKAN,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13750
210,211,GEDONG,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13760
211,212,CIJANTUNG,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13770
212,213,BARU,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13780
213,214,KALISARI,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13790
214,215,LUBANG BUAYA,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13810
215,216,CEGER,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13820
216,217,RAMBUTAN,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13830
217,218,CIPAYUNG,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13840
218,219,MUNJUL,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13850
219,220,PONDOK RANGON,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13860
220,221,CILANGKAP,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13870
221,222,SETU,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13880
222,223,BAMBU APUS,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13890
