,Subdistricts,District,Regency,Province,PostalCode,Latitude,Longitude,Note
62,ANGKE,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11330,-8.7996802,115.1506101,"11330 Jakarta, Indonesia"
63,SLIPI,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11410,-8.7996802,115.1506101,"11410 Jakarta, Indonesia"
64,KOTA BAMBU SELATAN,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11420,-6.18578207518299,106.795179188422,"11420 Jakarta, Indonesia"
65,KOTA BAMBU UTARA,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11420,-6.18578207518299,106.795179188422,"11420 Jakarta, Indonesia"
66,JATIPULO,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11430,-6.18204863333333,106.800901316667,"11430 Jakarta, Indonesia"
67,TOMANG,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11440,-6.17499974658727,106.79998863265,"11440 Jakarta, Indonesia"
68,GROGOL,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11450,-6.16500771821239,106.792633244873,"11450 Jakarta, Indonesia"
69,JELAMBAR,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11460,-6.16840361625964,106.766187846985,"11460 Jakarta, Indonesia"
70,JELAMBAR BARU,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11460,-6.16840361625964,106.766187846985,"11460 Jakarta, Indonesia"
71,WIJAYA KUSUMA,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11460,-6.16840361625964,106.766187846985,"11460 Jakarta, Indonesia"
72,TANJUNG DUREN SELATAN,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11470,-6.1781941,106.7913684,"11470 Jakarta, Indonesia"
73,TANJUNG DUREN UTARA,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11470,-6.1781941,106.7913684,"11470 Jakarta, Indonesia"
74,KEMANGGISAN,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11480,-6.19654386364847,106.789909767614,"11480 Jakarta, Indonesia"
75,PALMERAH,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11480,-6.19654386364847,106.789909767614,"11480 Jakarta, Indonesia"
76,DURI KEPA,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11510,-6.17770919107008,106.772140089201,"11510 Jakarta, Indonesia"
77,KEDOYA SELATAN,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11520,-6.16733250326393,106.759856521167,"11520 Jakarta, Indonesia"
78,KEDOYA UTARA,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11520,-6.16733250326393,106.759856521167,"11520 Jakarta, Indonesia"
79,KEBON JERUK,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11530,-6.2007033,106.7722194,"11530 Jakarta, Indonesia"
80,SUKABUMI UTARA (ILIR),KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11540,-6.20544190684676,106.776357305064,"11540 Jakarta, Indonesia"
81,KELAPA DUA,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11550,-8.7996802,115.1506101,"11550 Jakarta, Indonesia"
82,SUKABUMI SELATAN (UDIK),KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11560,-6.22403745930302,106.774640179008,"11560 Jakarta, Indonesia"
83,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11610,-6.18599902799686,106.741757784116,"11610 Jakarta, Indonesia"
84,KEMBANGAN UTARA,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11610,-6.18599902799686,106.741757784116,"11610 Jakarta, Indonesia"
85,MERUYA UTARA (ILIR),KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11620,-6.19505508892004,106.748781095178,"11620 Jakarta, Indonesia"
86,SRENGSENG,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11630,-6.2102485191248,106.757346195351,"11630 Jakarta, Indonesia"
87,JOGLO,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11640,-6.2212332,106.7501747,"11640 Jakarta, Indonesia"
88,MERUYA SELATAN (UDIK),KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11650,-6.21395552934394,106.729085431584,"11650 Jakarta, Indonesia"
89,KEDAUNG KALI ANGKE,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11710,-6.1540878,106.7696687,"11710 Jakarta, Indonesia"
90,KAPUK,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11720,-6.14189030978006,106.73829591502,"11720 Jakarta, Indonesia"
91,CENGKARENG BARAT,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11730,-6.14231672848657,106.732832139687,"11730 Jakarta, Indonesia"
92,CENGKARENG TIMUR,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11730,-6.14231672848657,106.732832139687,"11730 Jakarta, Indonesia"
93,RAWA BUAYA,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11740,-6.16199139234244,106.736906096314,"11740 Jakarta, Indonesia"
94,DURI KOSAMBI,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11750,-6.17616952810758,106.717120258392,"11750 Jakarta, Indonesia"
95,KAMAL,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11810,-6.1253750281743,106.702136575882,"11810 Jakarta, Indonesia"
96,TEGAL ALUR,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11820,-6.12978434629014,106.717948177474,"11820 Jakarta, Indonesia"
97,PEGADUNGAN,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11830,-6.14106835,106.694193811051,"11830 Jakarta, Indonesia"
98,KALIDERES,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11840,-6.15238409486129,106.717856465311,"11840 Jakarta, Indonesia"
99,SEMANAN,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11850,-8.7996802,115.1506101,"11850 Jakarta, Indonesia"
100,SELONG,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12110,-6.23257508332282,106.805063168085,"12110 Jakarta, Indonesia"
101,GUNUNG,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12120,-6.241262125,106.79003435,"12120 Jakarta, Indonesia"
102,KRAMAT PELA,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12130,-6.2498216,106.7935352,"12130 Jakarta, Indonesia"
103,GANDARIA UTARA,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12140,-6.2450325,106.7887246,"12140 Jakarta, Indonesia"
104,CIPETE UTARA,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12150,-6.25243594469999,106.808357387023,"12150 Jakarta, Indonesia"
105,MELAWAI,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12160,-6.24812295477952,106.803134518658,"12160 Jakarta, Indonesia"
106,PULO,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12160,-6.24812295477952,106.803134518658,"12160 Jakarta, Indonesia"
107,PETOGOGAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12170,-6.24549058670567,106.810327502636,"12170 Jakarta, Indonesia"
108,RAWA BARAT,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12180,-6.2344011,106.817236,"12180 Jakarta, Indonesia"
109,SENAYAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12190,-6.22950263272675,106.808531244388,"12190 Jakarta, Indonesia"
110,GROGOL UTARA,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12210,-6.22196648298878,106.783484080398,"12210 Jakarta, Indonesia"
111,GROGOL SELATAN,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12220,-6.2321328264429,106.782050749907,"12220 Jakarta, Indonesia"
112,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12230,-6.238407284928,106.769350530938,"12230 Jakarta, Indonesia"
113,KEBAYORAN LAMA SELATAN,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12240,-6.25347187194034,106.782911665683,"12240 Jakarta, Indonesia"
114,KEBAYORAN LAMA UTARA,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12240,-6.25347187194034,106.782911665683,"12240 Jakarta, Indonesia"
115,ULUJAMI,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12250,-6.2359572,106.7628608,"12250 Jakarta, Indonesia"
116,PETUKANGAN UTARA,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12260,-8.7996802,115.1506101,"12260 Jakarta, Indonesia"
117,PETUKANGAN SELATAN,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12270,-6.2253018,106.8038892,"12270 Jakarta, Indonesia"
